protein_id	gene_name	sample_group	abundance	peptide_count	quantified	note
P10000	TP53	control	1000.0	2	false	
P10001	EGFR	treated	1037.5	3	true	
P10002	MYC	control	1075.0	4	true	
P10003	BRCA1	treated	1112.5	5	true	
P10004	AKT1	control	1150.0	6	true	
P10005	PTEN	treated	1187.5	7	false	contains, a comma
P10006	KRAS	control	1225.0	8	true	
P10007	PIK3CA	treated	1262.5	9	true	
P10008	STAT3	control	1300.0	2	true	
P10009	MTOR	treated	1337.5	3	true	
P10010	TP53	control	1375.0	4	false	
P10011	EGFR	treated	1412.5	5	true	
P10012	MYC	control	1450.0	6	true	
P10013	BRCA1	treated	1487.5	7	true	
P10014	AKT1	control	1525.0	8	true	
P10015	PTEN	treated	1562.5	9	false	
P10016	KRAS	control	1600.0	2	true	
P10017	PIK3CA	treated	1637.5	3	true	
P10018	STAT3	control	1675.0	4	true	
P10019	MTOR	treated	1712.5	5	true	
P10020	TP53	control	1750.0	6	false	
P10021	EGFR	treated	1787.5	7	true	
P10022	MYC	control	1825.0	8	true	
P10023	BRCA1	treated	1862.5	9	true	
P10024	AKT1	control	1900.0	2	true	
P10025	PTEN	treated	1937.5	3	false	
P10026	KRAS	control	1975.0	4	true	
P10027	PIK3CA	treated	2012.5	5	true	
P10028	STAT3	control	2050.0	6	true	
P10029	MTOR	treated	2087.5	7	true	
P10030	TP53	control	2125.0	8	false	
P10031	EGFR	treated	2162.5	9	true	
P10032	MYC	control	2200.0	2	true	
P10033	BRCA1	treated	2237.5	3	true	
P10034	AKT1	control	2275.0	4	true	
P10035	PTEN	treated	2312.5	5	false	
P10036	KRAS	control	2350.0	6	true	
P10037	PIK3CA	treated	2387.5	7	true	
P10038	STAT3	control	2425.0	8	true	
P10039	MTOR	treated	2462.5	9	true	
P10040	TP53	control	2500.0	2	false	
P10041	EGFR	treated	2537.5	3	true	
P10042	MYC	control	2575.0	4	true	
P10043	BRCA1	treated	2612.5	5	true	
P10044	AKT1	control	2650.0	6	true	
P10045	PTEN	treated	2687.5	7	false	
P10046	KRAS	control	2725.0	8	true	
P10047	PIK3CA	treated	2762.5	9	true	
P10048	STAT3	control	2800.0	2	true	
P10049	MTOR	treated	2837.5	3	true	
P10050	TP53	control	2875.0	4	false	
P10051	EGFR	treated	2912.5	5	true	
P10052	MYC	control	2950.0	6	true	
P10053	BRCA1	treated	2987.5	7	true	
P10054	AKT1	control	3025.0	8	true	
P10055	PTEN	treated	3062.5	9	false	
P10056	KRAS	control	3100.0	2	true	
P10057	PIK3CA	treated	3137.5	3	true	
P10058	STAT3	control	3175.0	4	true	
P10059	MTOR	treated	3212.5	5	true	
