Protein.Ids	Genes	Organelle	Fold enrichment	Comparison	Difference_IP_vs_MockIP	Difference_IP_vs_WCL
P62258	YWHAE	C..Lysosome	2.45	+	0.523	1.234
Q15149	PLEC	C..Lysosome	3.12	+	0.892	1.456
P35579	MYH9	C..Mitochondira	4.23	+	1.234	2.134
Q02543	RPL18A	C..Mitochondira	3.89	+	1.045	1.823
P27348	YWHAQ	Endosome	2.67	+	0.734	1.123
P62937	PPIA	Endosome	2.34	+	0.623	0.982
P11021	HSPA5	ER	5.12	+	1.845	2.567
P07237	P4HB	ER	4.78	+	1.623	2.234
P02511	CRYAB	ER	3.45	+	1.234	1.678
P08107	HSPA1A	Golgi	2.89	+	0.912	1.345
P27797	CALR	Golgi	3.23	+	1.023	1.534
P54709	ATP6V1B2	Golgi	2.56	+	0.745	1.123
P40926	MDH2	Nuclear	4.56	+	1.534	2.123
P12004	PCNA	Nuclear	3.78	+	1.234	1.823
P62979	RPS27A	Nuclear	3.12	+	0.923	1.456
P62805	H4C1	Nuclear	4.23	+	1.345	1.987
P62269	RPS18	Ribosome	5.67	+	2.134	2.867
P62241	RPS8	Ribosome	5.23	+	1.987	2.645
P62263	RPS14	Ribosome	4.89	+	1.756	2.423
P62753	RPS6	Ribosome	5.34	+	2.045	2.734
P46777	RPL5	Ribosome	4.67	+	1.645	2.234
Q07020	RPL18	Ribosome	4.45	+	1.523	2.123
P62899	RPL31	C..Lysosome	2.78	+	0.645	1.234
P35908	KRT2	C..Lysosome	2.23	+	0.534	0.923
P13639	EEF2	C..Mitochondira	3.67	+	1.123	1.734
P05141	SLC25A5	C..Mitochondira	4.12	+	1.345	1.923
P60709	ACTB	Endosome	2.12	+	0.523	0.834
P63261	ACTG1	Endosome	2.45	+	0.612	0.945
P14625	HSP90B1	ER	4.23	+	1.456	2.123
P11142	HSPA8	ER	3.89	+	1.234	1.823
P08238	HSP90AB1	Golgi	3.12	+	0.923	1.456
P10809	HSPD1	Golgi	3.45	+	1.034	1.623
P04406	GAPDH	Nuclear	2.34	+	0.634	1.023
P62826	RAN	Nuclear	3.56	+	1.123	1.734
P46781	RPS9	Ribosome	5.12	+	1.923	2.567
P62280	RPS11	Ribosome	4.89	+	1.834	2.456
P62857	RPS28	Ribosome	5.45	+	2.123	2.823
P15880	RPS2	Ribosome	5.23	+	2.034	2.712
P62913	RPL11	Ribosome	4.78	+	1.756	2.345
Q9Y3D9	RPL37	Ribosome	4.56	+	1.645	2.234
